STATE_INDEX,BITSTRING_Q0_TO_Q8,COUNT,EMPIRICAL_PROBABILITY,THEORETICAL_PROBABILITY,IS_FEASIBLE,IS_OPTIMAL,ORDER_NODE_IDS,ROAD_DISTANCE_KM,CONSTRAINT_VIOLATION,QUBO_ENERGY
304,000011001,2,0.00048828125,0.0009540096802269975,False,False,INFACTIBLE,,4.0,1095.7111
307,110011001,2,0.00048828125,0.00020099722677055954,False,False,INFACTIBLE,,4.0,1215.446
312,000111001,2,0.00048828125,0.00016632183318819472,False,False,INFACTIBLE,,6.0,1645.8312999999998
313,100111001,2,0.00048828125,0.0001865989530848149,False,False,INFACTIBLE,,6.0,1734.9587
331,110100101,2,0.00048828125,0.00019901447962224038,False,False,INFACTIBLE,,6.0,1706.9651999999999
345,100110101,2,0.00048828125,0.00020060932276019897,False,False,INFACTIBLE,,6.0,1730.4294
353,100001101,2,0.00048828125,0.00020199887732558745,False,False,INFACTIBLE,,4.0,1208.7525
361,100101101,2,0.00048828125,7.735576435678555e-05,False,False,INFACTIBLE,,8.0,2217.3062
387,110000011,2,0.00048828125,0.000418055211165034,False,False,INFACTIBLE,,4.0,1069.1556
400,000010011,2,0.00048828125,0.0013389370754472362,False,False,INFACTIBLE,,4.0,1004.0244
436,001011011,2,0.00048828125,9.717816248542343e-05,False,False,INFACTIBLE,,8.0,2131.781
453,101000111,2,0.00048828125,8.417541083193442e-05,False,False,INFACTIBLE,,8.0,2119.9678
458,010100111,2,0.00048828125,0.0001856568976055697,False,False,INFACTIBLE,,6.0,1660.1773999999998
466,010010111,2,0.00048828125,0.00023001697951203722,False,False,INFACTIBLE,,8.0,2026.3921999999998
468,001010111,2,0.00048828125,0.00018955239626415143,False,False,INFACTIBLE,,6.0,1647.9144
481,100001111,2,0.00048828125,0.00017043291525318556,False,False,INFACTIBLE,,6.0,1697.2614999999998
484,001001111,2,0.00048828125,0.00022322379360962275,False,False,INFACTIBLE,,8.0,2155.6949999999997
30,011110000,1,0.000244140625,0.0003114692738144796,False,False,INFACTIBLE,,4.0,1119.1169
39,111001000,1,0.000244140625,0.0001296601924539254,False,False,INFACTIBLE,,6.0,1623.8061999999998
47,111101000,1,0.000244140625,8.241764700252554e-05,False,False,INFACTIBLE,,8.0,2195.3622
56,000111000,1,0.000244140625,0.0004179220793671596,False,False,INFACTIBLE,,6.0,1558.6738999999998
57,100111000,1,0.000244140625,0.000166092431563705,False,False,INFACTIBLE,,6.0,1647.8012999999999
58,010111000,1,0.000244140625,0.00013262298880642456,False,False,INFACTIBLE,,6.0,1601.5454999999997
61,101111000,1,0.000244140625,8.236858327893814e-05,False,False,INFACTIBLE,,8.0,2195.3622
69,101000100,1,0.000244140625,0.0009854050517040026,False,False,INFACTIBLE,,4.0,1118.5038
83,110010100,1,0.000244140625,0.0002790124121054939,False,False,INFACTIBLE,,4.0,1102.3235
87,111010100,1,0.000244140625,0.00019049116935147695,False,False,INFACTIBLE,,6.0,1649.8844
89,100110100,1,0.000244140625,0.00019194733418148978,False,False,INFACTIBLE,,6.0,1643.272
93,101110100,1,0.000244140625,0.00020046155906620325,False,False,INFACTIBLE,,6.0,1732.3993999999998
107,110101100,1,0.000244140625,0.00019626066926332745,False,False,INFACTIBLE,,6.0,1744.6623999999997
109,101101100,1,0.000244140625,7.74837860209257e-05,False,False,INFACTIBLE,,8.0,2218.7442
120,000111100,1,0.000244140625,0.00016632183318819485,False,False,INFACTIBLE,,6.0,1645.8312999999998
122,010111100,1,0.000244140625,0.0002050826857435464,False,False,INFACTIBLE,,6.0,1697.8745999999999
131,110000010,1,0.000244140625,0.0014791283591486274,False,False,INFACTIBLE,,4.0,993.7302999999999
